"NoCopyrightSounds ",33800000,11339213933,1797
"DanTDM ",29000000,19989393448,3727
"KSI ",24000000,6015064768,1255
"Mister Max ",24700000,16236760567,1164
"Jelly ",23600000,15188907061,6569
"Miss Katy ",25000000,15891617010,1112
"Dua Lipa ",23800000,13585807265,280
"Dan Rhodes ",27200000,19072867792,1671
"Ali-A ",19100000,6636803875,4446
"Gaby and Alex ",17200000,8837003910,369
"Sidemen ",17900000,11631611499,1235
"Queen Official ",16400000,7996501022,278
"Little Mix ",16300000,4351532825,1383
"JJ Olatunji ",14000000,3365245046,782
"F2Freestylers - Ultimate Soccer Skills Channel ",16700000,5573191903,23040
"BBC News ",14400000,10678974478,20386
"BBC ",14300000,6073716131,971
"Awakening Music ",13200000,13704602899,4550
"DisneyChannelUK ",13100000,1804546264,410
"colinfurze ",19700000,6031681264,1731
"Mrwhosetheboss ",15000000,2466181055,483
"TommyInnit ",12700000,3560357540,853
"Morgz ",11400000,3252271343,1048
"Tiana ",12700000,12858155992,3201
"DisneyJuniorUK ",11100000,3757984057,718
"Emily Tube ",11800000,9123037504,6511
"Slogo ",10700000,5913034220,96
"Jessie J ",12400000,8482684422,4540
"Sing King ",11800000,5027509825,41978
"BBC News ???? ",10600000,3441444110,1878
"Classic Mr Bean ",9590000,2136000701,3531
"Syndicate ",11200000,6111558413,363
"Gorillaz ",15700000,14773780828,1199
"Woody & Kleiny ",12100000,6103600472,914
"Jungle Beat ",9200000,7046815240,5605
"Julius Dein ",11500000,529394415,403
"The X Factor UK ",12300000,6685638921,1005
"English with Lucy ",9040000,3453249949,2624
"Shaun the Sheep ",9440000,3132374073,2100
"Cartoons for Kids ",9090000,4058829208,1939
"Mumbo Jumbo ",12500000,9070269001,1706
"Top Gear ",8290000,3801653347,4942
"Moonbug Kids - Kids Learning Videos ",8610000,2516739280,767
"BBC Radio 1 ",8730000,2808520432,1604
"Liverpool FC ",7590000,2170008550,5065
"Grian ",7850000,3077653295,957
"Daz Games ",9600000,4187440522,2841
"Vikkstar123 ",12500000,6718749452,837
"PlayToys ",7360000,2107241084,180
"carwow ",7060000,4597205489,6726
"Jeremy Lynch ",7220000,3478091471,1079
"TomSka ",8510000,7315145879,329
"YOGSCAST Lewis & Simon ",7500000,4660522352,393
"LDShadowLady ",6870000,2579421791,1068
"The Beatles ",8880000,4715251902,1116
"Passenger ",7630000,3817944929,2493
"MessYourself ",7490000,4592059954,232
"MoreSidemen ",7760000,3320883224,1466
"Boomerang UK ",8210000,3650253922,176522
"James Arthur ",9260000,5493840490,669
"ARPO The Robot ",7180000,7635588968,3363
"24 News HD ",6940000,6720862682,20
"RubyandBonnie ",13700000,6455323149,983
"Nickelodeon UK ",6240000,2135927956,1787
"Mark Ronson ",6160000,1471272390,472
"Rhia Official ",5700000,798897515,139
"UKF Dubstep ",6850000,1412359339,3126
"TGFbro ",9410000,2431458714,4363
"Wilbur Soot ",7060000,2871411089,690
"Russell Brand ",7140000,3814319208,186
"Manchester United ",7670000,641579604,142
"Pingu - Official Channel ",5850000,1649720417,435
"Mrwhosetheboss Shorts ",6220000,3663026030,2699
"Niko Omilana ",6290000,1614751370,528
"Tiana Wilson ",6470000,1064518437,188
"Capital FM ",5960000,980287588,2190
"Simon's Cat ",5310000,1135959,225
"CGP Grey ",5620000,32821572,131
"Jamie Oliver ",6400000,1188391927,1135
"ChrisMD ",5270000,1472421508,610
"Dumori Bay ",6430000,7742741919,15115
"Space Videos ",5300000,1020654606,322
"Real Stories ",9740000,4704972992,5331
"More Emily ",8020000,4654111463,52660
"GRM Daily ",5660000,1726758341,765
"Joe Weller ",5490000,1069106164,845
"WildBrain Kids ",4950000,581814029,872
"Sky News ",7120000,364180816,3733
"Jarvis ",4700000,1317607976,510
"Thoughty2 ",7740000,2114590804,8624
"TheDadLab ",5340000,1136056720,548
"Behzinga ",5050000,870191220,308
"BBC Learning English ",4710000,869743111,2029
"Max and Katy ",4530000,1280797582,865
"Man City ",4570000,547137504,984
"Wisp ",5340000,1258397564,548
"WillNE ",5050000,978625631,308
"Zerkaa ",4710000,725964831,2251
"Ben Phillips ",4530000,725984631,865
"Roxxsaurus ",4570000,1985984631,984
